clave,es
A7_AVISO_CIERRE,"Al presentar, el expediente queda cerrado."
A7_CASILLA,%s — %s
A7_DECLARACION,Declaro haber revisado íntegramente la documentación obrante en el expediente.
A7_EJERCICIO,Ejercicio: %s        Instructor: auditor01
A7_EXPEDIENTE,Expediente: %s
A7_FALTA_CASILLA,Marque la casilla del responsable.
A7_FALTA_DECLARACION,Falta la declaración responsable.
A7_INSTRUCCION,Marque UNA casilla. La imputación es firme y no admite rectificación.
A7_PRESENTAR,PRESENTAR
A7_SIN_FECHA,s/f
A7_SIN_JORNADA,SE ACABÓ LA JORNADA. El registro ya no admite entradas hoy.
A7_TITULO,FORMULARIO A-7  ·  IMPUTACIÓN DE RESPONSABILIDAD
A7_VOLVER,Volver al expediente
A7_YA_CERRADO,Este expediente ya tiene veredicto firme.
CAREO_MARCADOR,Usted %s        %s %s
CAREO_NO_RECONOCE,%s no reconoce la acusación.
CAREO_REPLICA,« %s »
CAREO_ROTULO_EXPEDIENTE,EXPEDIENTE {folio}
CAREO_SIN_CARGO,Cargo no consta en el expediente
CAREO_SIN_FOLIO,SIN NÚMERO
CAREO_VEREDICTO_JUGADOR,cede un punto
CAREO_VEREDICTO_RIVAL,se le impone
CASA_BORRADO,Expediente personal borrado. No consta que haya estado usted aquí.
CASA_BORRAR,Empezar de cero
CASA_BORRAR_SEGURO,"¿Seguro? Se pierde TODO: cartas, logros y rachas"
COMBATE_CRONICA,Usted: %s   ·   %s: %s   —   %s
COMBATE_INSISTENCIA,Insistencia
COMBATE_OBJECION,Objeción
COMBATE_SILENCIO,Silencio
COMBATE_VIDAS,Usted  %s %d        %s  %s %d
COMPA_ADUANERO_NY,El inspector
COMPA_ADUANERO_NY_1,Diecinueve años mirando lo que entra por el puerto. Aquí entra menos.
COMPA_ADUANERO_NY_2,"Escribí un libro. No lo lea, es muy largo."
COMPA_ADUANERO_NY_3,"Preferiría no hacerlo. Pero lo hago igual, que para eso me pagan."
COMPA_BECARIO,El becario
COMPA_BECARIO_1,Llevo aquí cuatro años. En prácticas.
COMPA_BECARIO_2,No salgo en la nómina. Lo he preguntado tres veces.
COMPA_BECARIO_3,"Si un día no vengo, el sistema no lo va a notar."
COMPA_CORRESPONDENCIA,El auxiliar de correspondencia
COMPA_CORRESPONDENCIA_1,"Yo llevo la correspondencia. La de la casa, digo."
COMPA_CORRESPONDENCIA_2,Hay días en que uno es varios. Eso no consta en ningún sitio.
COMPA_CORRESPONDENCIA_3,Cuando salgo de aquí escribo. No es nada. No pregunte.
COMPA_CUNADO,Su compañero
COMPA_CUNADO_1,Yo eso lo tramitaba en papel y no fallaba nunca.
COMPA_CUNADO_2,"¿Ya te han dado el sello? A mí me lo dieron el segundo día. Bueno, el tercero."
COMPA_CUNADO_3,"Aquí lo que hay que saber es a quién preguntar. Yo lo sé, pero es que llevo mucho."
COMPA_EMPERADOR,El señor de la mesa del fondo
COMPA_EMPERADOR_1,Antes tenía otro trabajo. No se lo recomendaría a nadie.
COMPA_EMPERADOR_2,Los papeles se ordenan igual en todas partes. Eso lo aprendí tarde.
COMPA_EMPERADOR_3,Aquí nadie se levanta cuando entro. Es un alivio.
